BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
281926	266383	227	281926				0.650161601521227	0.896396396396396	0.811823405142721
650096	374525	111	650096				0.632380988358635	1.1453154875717	0.79825141153467
241389	643179	204	241389				0.00930267027197941	0.501010101010101	0.0539291252882301
300153	837361	85	300153				0.604121679222387	1.01810344827586	0.787434491834136
212022	421363	234	212022				0.564560019685295	0.990825688073395	0.749502095099443
437302	565008	275	437302				0.00252974807406874	0.680345572354212	0.023552118857495
238437	905447	174	238437				0.000610128293037937	1.21559633027523	0.0130808102305333
219484	406246	227	219484				0.0101198880717314	0.791878172588833	0.054364980106278
225446	383070	156	225446				0.187708805482832	1.34423897581792	0.397378431356241
356957	692437	229	356957				0.972521658564621	1.61006289308176	0.983161939292899
218821	726446	174	218821				0.772160975418685	0.907563025210084	0.895297325136303
269776	329088	117	269776				0.742007238975712	0.882012578616352	0.872283319101219
227601	284985	188	227601				0.00446469124875363	1.32971014492754	0.034378122615403
455826	856197	187	455826				0.719348287145698	1.18589420654912	0.856030937464612
270073	310098	200	270073				0.0326984307491672	1.15878378378378	0.122818495984677
281910	362277	140	281910				0.787762393049127	1.15079365079365	0.909865563971742
208557	294136	172	208557				0.00361422221689364	0.674917491749175	0.0293660687026025
270547	1198470	220	270547				0.350189846810966	0.933110367892977	0.561762879259258
273773	240889	137	273773				0.124097705424951	0.905960264900662	0.299170721566609
508725	413447	175	508725				0.154889131935738	2.35714285714286	0.350732168024042
419655	803124	85	419655				0.865247718263038	0.937898089171974	0.936169662382959
369729	629749	202	369729				0.953788507878374	0.961977186311787	0.979222868088464
199596	246426	85	199596				0.440716936626302	1.13301511535402	0.632332996029042
222199	967501	114	222199				0.187395542547263	0.625668449197861	0.397378431356241
367932	380080	170	367932				0.536306814176963	1.0521609538003	0.724484643712739
476001	822491	111	476001				0.747602675099274	0.929545454545455	0.874411230116113
234717	628281	214	234717				0.617532213765859	4.64173228346457	0.79825141153467
226272	563299	294	226272				0.814395170371375	1.00492610837438	0.922182766449939
